전국순위,기초,sido,인구,자연휴양림_개소,자연휴양림_수용인원,국립휴양림_개소,국립휴양림_연이용자,치유의숲_개소,치유의숲_면적ha,유아숲체험원_개소,수목원_개소,산림교육센터_개소,휴양림수용_10만명당,치유의숲ha_10만명당,유아숲_10만명당,수목원_10만명당,산림교육센터_10만명당,국립휴양림이용_천명당,접근성_상대_0to100,종합공급점수,시도_미충족잠재수요율,z_수요격차,z_공급부족,우선확충지수,우선확충지수_0100,등급,유형
129,경남 김해시,경남,531676.0,1.0,80.0,0.0,0.0,0.0,0.0,5,0,0,15.047,0.0,0.94,0.0,0.0,0.0,73.2,-0.291,34.859,-0.87,0.479,-0.13,64.3,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
130,제주 제주시,제주,488348.0,1.0,1000.0,0.0,0.0,0.0,0.0,3,2,0,204.772,0.0,0.614,0.41,0.0,0.0,35.3,0.035,47.642,-0.115,-0.058,-0.138,64.2,2순위(검토),D. 공급보유·수요低 → 유지
131,전남 목포시,전남,209890.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.476,0.0,0.0,0.0,57.8,-0.548,24.088,-1.505,0.901,-0.152,64.0,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
132,경남 창원시,경남,999858.0,0.0,0.0,0.0,0.0,1.0,58.0,9,0,0,0.0,5.801,0.9,0.0,0.0,0.0,72.271,-0.275,34.859,-0.87,0.452,-0.157,63.9,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
133,경남 통영시,경남,118481.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2.532,0.0,0.0,0.0,67.3,-0.266,34.859,-0.87,0.438,-0.171,63.7,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
134,울산 중구,울산,207000.0,1.0,72.0,0.0,0.0,0.0,0.0,2,0,0,34.783,0.0,0.966,0.0,0.0,0.0,59.5,-0.238,35.579,-0.827,0.391,-0.188,63.5,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
135,경북 영주시,경북,98870.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,2.023,0.0,2.023,0.0,65.2,0.647,69.679,1.185,-1.065,-0.235,62.8,2순위(검토),C. 공급보유·수요高 → 접근성/연계
136,강원 인제군,강원,31535.0,2.0,420.0,2.0,116706.0,0.0,0.0,3,0,0,1331.853,0.0,9.513,0.0,0.0,3700.84,59.4,0.524,64.119,0.857,-0.861,-0.262,62.4,2순위(검토),C. 공급보유·수요高 → 접근성/연계
137,세종특별자치시,세종,390685.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,0.768,0.512,0.256,0.0,91.1,-0.014,42.595,-0.413,0.023,-0.266,62.3,2순위(검토),D. 공급보유·수요低 → 유지
138,울산 동구,울산,150836.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.663,0.663,0.0,0.0,54.7,-0.168,35.579,-0.827,0.277,-0.302,61.8,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
139,강원 춘천시,강원,286069.0,1.0,100.0,1.0,78727.0,0.0,0.0,7,2,1,34.957,0.0,2.447,0.699,0.35,275.203,65.7,0.561,64.119,0.857,-0.922,-0.322,61.5,2순위(검토),C. 공급보유·수요高 → 접근성/연계
140,충남 금산군,충남,49615.0,4.0,4050.0,0.0,0.0,0.0,0.0,2,0,0,8162.854,0.0,4.031,0.0,0.0,0.0,83.4,0.396,57.382,0.459,-0.651,-0.329,61.4,2순위(검토),C. 공급보유·수요高 → 접근성/연계
141,경북 칠곡군,경북,107383.0,2.0,566.0,0.0,0.0,0.0,0.0,3,0,1,527.085,0.0,2.794,0.0,0.931,0.0,55.8,0.712,69.679,1.185,-1.17,-0.341,61.2,2순위(검토),C. 공급보유·수요高 → 접근성/연계
141,충북 증평군,충북,37171.0,1.0,250.0,0.0,0.0,0.0,0.0,1,0,0,672.567,0.0,2.69,0.0,0.0,0.0,88.4,0.144,47.053,-0.15,-0.237,-0.342,61.2,2순위(검토),D. 공급보유·수요低 → 유지
143,강원 강릉시,강원,207731.0,1.0,105.0,1.0,117508.0,1.0,224.0,3,1,0,50.546,107.832,1.444,0.481,0.0,565.674,58.4,0.587,64.119,0.857,-0.966,-0.366,60.9,2순위(검토),C. 공급보유·수요高 → 접근성/연계
144,충남 홍성군,충남,99198.0,1.0,110.0,0.0,0.0,0.0,0.0,2,1,0,110.889,0.0,2.016,1.008,0.0,0.0,77.2,0.437,57.382,0.459,-0.72,-0.398,60.4,2순위(검토),C. 공급보유·수요高 → 접근성/연계
144,강원 삼척시,강원,61735.0,1.0,175.0,1.0,45917.0,1.0,68.0,2,0,0,283.47,110.148,3.24,0.0,0.0,743.776,55.0,0.607,64.119,0.857,-0.999,-0.399,60.4,2순위(검토),C. 공급보유·수요高 → 접근성/연계
146,전북 정읍시,전북,102127.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.979,0.0,0.0,0.0,70.9,-0.453,21.831,-1.638,0.746,-0.401,60.3,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
146,경남 양산시,경남,359531.0,3.0,554.0,0.0,0.0,0.0,0.0,4,0,0,154.09,0.0,1.113,0.0,0.0,0.0,60.2,-0.126,34.859,-0.87,0.207,-0.402,60.3,2순위(검토),D. 공급보유·수요低 → 유지
148,강원 양구군,강원,20621.0,1.0,160.0,0.0,0.0,0.0,0.0,3,0,0,775.908,0.0,14.548,0.0,0.0,0.0,50.4,0.617,64.119,0.857,-1.015,-0.415,60.1,2순위(검토),C. 공급보유·수요高 → 접근성/연계
149,광주 동구,광주,106203.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,-0.674,12.142,-2.21,1.108,-0.438,59.8,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
150,대전 서구,대전,457951.0,1.0,6000.0,0.0,0.0,0.0,0.0,4,1,0,1310.184,0.0,0.873,0.218,0.0,0.0,99.3,0.098,42.757,-0.404,-0.161,-0.444,59.7,2순위(검토),D. 공급보유·수요低 → 유지
151,인천 강화군,인천,69402.0,2.0,286.0,0.0,0.0,0.0,0.0,1,1,0,412.092,0.0,1.441,1.441,0.0,0.0,66.3,0.579,61.726,0.716,-0.953,-0.452,59.6,2순위(검토),C. 공급보유·수요高 → 접근성/연계
152,경남 함안군,경남,58842.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,5.098,0.0,0.0,0.0,77.0,-0.09,34.859,-0.87,0.148,-0.461,59.5,2순위(검토),D. 공급보유·수요低 → 유지
153,전북 김제시,전북,80635.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1.24,0.0,0.0,0.0,75.1,-0.413,21.831,-1.638,0.68,-0.467,59.4,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
154,경기 동두천시,경기,86838.0,1.0,650.0,0.0,0.0,1.0,50.0,2,0,0,748.52,57.578,2.303,0.0,0.0,0.0,66.2,0.522,58.621,0.532,-0.858,-0.485,59.1,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
155,충북 영동군,충북,43551.0,1.0,394.0,0.0,0.0,1.0,61.0,0,0,0,904.686,140.066,0.0,0.0,0.0,0.0,97.3,0.235,47.053,-0.15,-0.387,-0.492,59.0,3순위(관찰),D. 공급보유·수요低 → 유지
156,경북 울진군,경북,46124.0,1.0,950.0,1.0,40537.0,1.0,56.0,2,0,0,2059.665,121.412,4.336,0.0,0.0,878.87,37.0,0.812,69.679,1.185,-1.335,-0.506,58.8,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
157,전남 영광군,전남,52098.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1.919,0.0,0.0,0.0,61.7,-0.328,24.088,-1.505,0.539,-0.514,58.7,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
157,충남 공주시,충남,101285.0,1.0,250.0,0.0,0.0,1.0,54.0,3,0,0,246.828,53.315,2.962,0.0,0.0,0.0,85.3,0.506,57.382,0.459,-0.832,-0.51,58.7,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
159,전남 담양군,전남,44623.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2.241,0.0,0.0,0.0,79.0,-0.294,24.088,-1.505,0.484,-0.57,57.9,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
160,경남 진주시,경남,338785.0,2.0,345.0,0.0,0.0,0.0,0.0,3,1,0,101.834,0.0,0.886,0.295,0.0,0.0,79.2,-0.014,34.859,-0.87,0.023,-0.586,57.6,3순위(관찰),D. 공급보유·수요低 → 유지
